"STT","Mã Bước","Giai Đoạn","Tên Hạng Mục Công Việc","Hành Động Cụ Thể & Mô Tả","Khung Thời Gian","Người Đảm Nhận (PIC)","Trạng Thái (Check)","Ghi Chú & Diễn Giải Vấn Đề Gặp Phải (Remark)"
"11","3.3","Giai Đoạn 3: Nhập Kho & Lắp Đặt Hệ Thống SOP","Lắp máy giặt hấp LG Styler & Xịt thơm","Lắp đặt máy giặt hấp hơi nước LG Styler/Samsung AirDresser + máy xịt thơm Signature mùi hoa nhài Hội An.","Tuần 6 - Tuần 8","Đội kĩ thuật","FALSE",""
"12","3.4","Giai Đoạn 4: Nhập Kho & Lắp Đặt Hệ Thống SOP","Gán mã QR & Cấu hình App Quản Lý","Dán mã QR quản lý từng bộ đồ trên Web App / phần mềm quản lý kho & lịch bận khả dụng.","Tuần 6 - Tuần 8","Team Tech","FALSE",""
"13","4.1","Giai Đoạn 4: Mạng Lưới Đối Tác (B2B Affiliate)","Lập Group 50+ Thợ ảnh Hội An","Lập Group Zalo 'Cộng Đồng Photographer Đà Nẵng - Hội An' kết nối 50+ thợ ảnh tự do. Trích 15% hoa hồng thợ dẫn khách.","Tuần 8 - Tuần 10","Quản lý tiệm","FALSE",""
"14","4.2","Giai Đoạn 4: Mạng Lưới Đối Tác (B2B Affiliate)","Gửi Kit Voucher 30+ Khách sạn / Homestay","Gửi bộ Kit Voucher giảm 10% tới Lễ tân 30+ Khách sạn 3-5 sao & Homestay tại Hội An (Lễ tân nhận 15% doanh thu).","Tuần 8 - Tuần 10","Quản lý tiệm","FALSE",""
"15","4.3","Giai Đoạn 4: Mạng Lưới Đối Tác (B2B Affiliate)","Liên kết 5 Make-up Artists VIP","Hợp tác với 5 Make-up Artists chuyên nghiệp sẵn sàng nhận lịch làm tận nơi hoặc tại tiệm.","Tuần 8 - Tuần 10","Quản lý tiệm","FALSE",""
"16","5.1","Giai Đoạn 5: Pre-Launch Marketing & Booking KOCs","Booking 8 KOCs TikTok / Instagram","Mời 8 KOCs du lịch TikTok/IG tài trợ outfit + chụp hình Lookbook góc phố Hội An.","Tuần 10 - Tuần 11","Team Marketing","FALSE",""
"17","5.2","Giai Đoạn 5: Pre-Launch Marketing & Booking KOCs","Sản xuất Video Viral TikTok","Đăng series video TikTok Viral: 'Đi Hội An đừng mua váy nữa - Thuê đầm hiệu 8 triệu chỉ 250k'.","Tuần 10 - Tuần 11","Team Marketing","FALSE",""
"18","5.3","Giai Đoạn 5: Pre-Launch Marketing & Booking KOCs","Bài viết Xiaohongshu cho khách quốc tế","Đăng bài tiếng Trung trên Xiaohongshu nhắm du khách Trung Quốc / Đài Loan / Singapore tới Hội An.","Tuần 10 - Tuần 11","Team Marketing","FALSE",""
"19","5.4","Giai Đoạn 5: Pre-Launch Marketing & Booking KOCs","Set Ads Facebook / Instagram Geo-target","Set up quảng cáo Facebook/Instagram Geo-targeting bán kính 15km quanh Hội An & Sân bay Đà Nẵng.","Tuần 10 - Tuần 11","Team Marketing","FALSE",""
"20","6.1","Giai Đoạn 6: Grand Opening & Tối Ưu Vận Hành","Sự kiện Khai Trương Grand Opening","Chương trình tuần đầu: 'Thuê 1 Outfit - Tặng Free 1 Phụ Kiện & Ship Tận Khách Sạn'.","Tuần 12 Trở Đi","Toàn bộ Team","FALSE",""
"21","6.2","Giai Đoạn 6: Grand Opening & Tối Ưu Vận Hành","Quản lý Khấu hao & Thanh lý BST cũ","Theo dõi độ mòn trang phục: Đồ thuê quá 15 lượt chuyển sang thanh lý thu hồi 40-50% vốn gốc để nhập BST mới.","Tuần 12 Trở Đi","Chủ tiệm","FALSE",""
